CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX335291,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2234,Y
HX336206,7/7/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1711,Y
HX335418,7/7/2014,NARCOTICS,FORFEIT PROPERTY,STREET,Y,N,821,N
HX335327,7/7/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,513,N
HX335352,7/7/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,Y,N,715,N
HX335286,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2012,N
HX335341,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,1123,N
HX355974,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,724,Y
HX342130,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2412,Y
HX335702,7/7/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1424,Y
HX340639,7/7/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,1933,Y
HX335834,7/7/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1124,Y
HX336397,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,823,Y
HX337466,7/7/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,N,N,821,Y
HX336897,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,N,N,1034,Y
HX337891,7/7/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,421,Y
HX335334,7/7/2014,THEFT,FROM BUILDING,OTHER,N,N,1731,Y
HX344484,7/7/2014,THEFT,$500 AND UNDER,CAR WASH,N,N,1921,Y
HX336025,7/7/2014,THEFT,OVER $500,STREET,N,N,1633,Y
HX336735,7/7/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,733,Y
HX336066,7/7/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,334,Y
HX335328,7/7/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,1523,N
HX335751,7/7/2014,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,Y,N,1121,N
HX335346,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1524,N
HX335310,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE PORCH/HALLWAY,Y,N,1021,N
HX338072,7/7/2014,BATTERY,SIMPLE,OTHER,N,N,1914,Y
HX335419,7/7/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,N,Y,424,Y
HX335305,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,2234,N
HX339477,7/7/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,1412,Y
HX335332,7/7/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1711,Y
HX335382,7/7/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1833,N
HX338249,7/7/2014,ROBBERY,ARMED: HANDGUN,CTA BUS STOP,N,N,324,Y
HX337728,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1712,Y
HX335354,7/7/2014,THEFT,ATTEMPT THEFT,PARKING LOT/GARAGE(NON.RESID.),Y,N,223,N
HX335467,7/7/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,921,Y
HX335468,7/7/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,921,Y
HX336965,7/7/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,1821,Y
HX336686,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1731,Y
HX336669,7/7/2014,BATTERY,SIMPLE,RESIDENCE,N,N,421,Y
HX335673,7/7/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,815,Y
HX354242,7/7/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1911,Y
HX335798,7/7/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,N,N,122,Y
HX335403,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522,Y
HX335523,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,823,Y
HY266558,7/7/2014,DECEPTIVE PRACTICE,COMPUTER FRAUD,OTHER,N,N,1612,Y
HX337920,7/7/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,422,Y
HX341931,7/7/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2212,Y
HX335438,7/7/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,Y,N,512,N
HX335369,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,714,N
HX335441,7/7/2014,THEFT,$500 AND UNDER,STREET,Y,N,723,N
HX335484,7/7/2014,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,Y,N,112,N
HX335405,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,225,Y
HX335379,7/7/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,1133,Y
HX335456,7/7/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,PARK PROPERTY,Y,N,831,N
HX339790,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,2413,Y
HX335391,7/7/2014,THEFT,OVER $500,PARK PROPERTY,N,N,1814,Y
HX335458,7/7/2014,THEFT,OVER $500,PARK PROPERTY,N,N,831,Y
HX339212,7/7/2014,THEFT,$500 AND UNDER,GAS STATION,N,N,1432,Y
HX335444,7/7/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1135,Y
HX336081,7/7/2014,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,323,Y
HX336179,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1633,Y
HX336474,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1033,Y
HX335875,7/7/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,215,Y
HX335390,7/7/2014,ASSAULT,SIMPLE,OTHER,N,N,824,Y
HX341974,7/7/2014,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,Y,N,1935,N
HX342071,7/7/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,2432,Y
HX335614,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,414,Y
HX335406,7/7/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,614,Y
HX335479,7/7/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,112,N
HX335459,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1121,N
HX335415,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,Y,Y,1122,N
HX335408,7/7/2014,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,Y,1014,Y
HX339620,7/7/2014,THEFT,OVER $500,SMALL RETAIL STORE,N,N,112,Y
HX335706,7/7/2014,CRIMINAL TRESPASS,TO LAND,OTHER,N,N,321,Y
HX335452,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,OTHER,Y,N,624,N
HX335470,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,421,N
HX335550,7/7/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,111,N
HX335446,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,N,N,1135,Y
HX335449,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,2221,N
HX335591,7/7/2014,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,234,Y
HX335525,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,511,N
HX335510,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,423,Y
HX335587,7/7/2014,BATTERY,SIMPLE,STREET,N,N,433,Y
HX335492,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,623,Y
HX335533,7/7/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,1021,Y
HX335454,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1211,Y
HX335465,7/7/2014,GAMBLING,GAME/DICE,ALLEY,Y,N,735,N
HX335504,7/7/2014,THEFT,POCKET-PICKING,HOTEL/MOTEL,Y,N,123,N
HX335472,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,PARK PROPERTY,N,N,711,Y
HX335487,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,Y,N,1121,N
HX335513,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,322,N
HX335519,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1513,Y
HX336377,7/7/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,821,Y
HX335485,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,923,Y
HX337614,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,815,Y
HX335495,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,1033,N
HX335593,7/7/2014,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,PARK PROPERTY,Y,N,511,N
HX335522,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,N,N,2424,Y
HX335585,7/7/2014,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,Y,N,1633,N
HX337126,7/7/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1935,Y
HX337587,7/7/2014,THEFT,$500 AND UNDER,CTA TRAIN,N,N,1423,Y
HX335563,7/7/2014,THEFT,OVER $500,STREET,N,N,1424,Y
HX338047,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1933,Y
HX335778,7/7/2014,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,Y,2423,Y
HX336114,7/7/2014,THEFT,$500 AND UNDER,OTHER,N,N,234,Y
HX335509,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1611,Y
HX335502,7/7/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,823,Y
HX348967,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1031,Y
HX336613,7/7/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1423,Y
HX336888,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,2512,Y
HX335683,7/7/2014,THEFT,OVER $500,CTA TRAIN,N,N,711,Y
HX335966,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,914,Y
HX335996,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),N,N,2012,Y
HX335999,7/7/2014,THEFT,OVER $500,ALLEY,N,N,1933,Y
HX335488,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,Y,512,Y
HX335501,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1011,Y
HX335762,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,Y,N,1133,N
HX336224,7/7/2014,NARCOTICS,FORFEIT PROPERTY,AIRPORT/AIRCRAFT,Y,N,813,N
HX335496,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,1132,N
HX336026,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1724,Y
HX335573,7/7/2014,BATTERY,SIMPLE,STREET,Y,N,1523,N
HX335536,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,414,N
HX335594,7/7/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,234,Y
HX335508,7/7/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,1531,N
HX335538,7/7/2014,DECEPTIVE PRACTICE,FORGERY,GAS STATION,Y,N,912,N
HX336123,7/7/2014,BURGLARY,FORCIBLE ENTRY,PARK PROPERTY,N,N,233,Y
HX335527,7/7/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,2515,Y
HX335549,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENTIAL YARD (FRONT/BACK),N,Y,414,Y
HX335535,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1611,Y
HX335544,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,Y,N,1123,N
HX335575,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2233,Y
HX335583,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,825,Y
HX350807,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,N,N,122,Y
HX336776,7/7/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,631,Y
HX335592,7/7/2014,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SMALL RETAIL STORE,N,N,412,Y
HX335534,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,732,N
HX335524,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,724,Y
HX335717,7/7/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,934,Y
HX335639,7/7/2014,THEFT,PURSE-SNATCHING,GROCERY FOOD STORE,N,N,821,Y
HX336488,7/7/2014,THEFT,OVER $500,STREET,N,N,631,Y
HX349975,7/7/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1935,Y
HX335836,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,323,Y
HX335624,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,2232,Y
HX336509,7/7/2014,THEFT,PURSE-SNATCHING,STREET,N,N,925,Y
HX335505,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,735,N
HX336943,7/7/2014,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,N,N,1221,Y
HX335640,7/7/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,1731,Y
HX335618,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,724,N
HX335670,7/7/2014,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,1834,Y
HX335663,7/7/2014,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,Y,N,1622,N
HX335561,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1113,N
HX335542,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,232,N
HX335596,7/7/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,124,Y
HX335556,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENTIAL YARD (FRONT/BACK),Y,N,523,N
HX335540,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2532,N
HX335586,7/7/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,225,N
HX335693,7/7/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1122,Y
HX335698,7/7/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,SPORTS ARENA/STADIUM,Y,N,511,N
HX335615,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,923,N
HX335580,7/7/2014,NARCOTICS,POSS: PCP,SIDEWALK,Y,N,1524,N
HX335557,7/7/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,512,Y
HX335579,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,533,N
HX335565,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,532,Y
HX335571,7/7/2014,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,Y,N,1232,N
HX335554,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1114,N
HX335631,7/7/2014,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,VEHICLE NON-COMMERCIAL,Y,N,811,N
HX335599,7/7/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,Y,N,1532,N
HX336052,7/7/2014,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,1022,Y
HX335846,7/7/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,Y,N,1922,N
HY155453,7/7/2014,INTIMIDATION,INTIMIDATION,OTHER,N,N,531,Y
HX335633,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,424,N
HX335617,7/7/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,621,Y
HX335642,7/7/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1235,Y
HX335628,7/7/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,N,N,1221,Y
HX335610,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,Y,N,1122,N
HX335588,7/7/2014,ASSAULT,SIMPLE,STREET,N,N,1225,Y
HX335562,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,934,Y
HX346861,7/7/2014,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,STREET,N,N,1512,Y
HX342029,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,712,Y
HX336994,7/7/2014,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,SIDEWALK,N,N,623,Y
HX336264,7/7/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1812,Y
HX337504,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1413,Y
HX336104,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1622,Y
HX336640,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,834,Y
HX335611,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,Y,N,925,N
HX335564,7/7/2014,BATTERY,SIMPLE,STREET,Y,N,1013,N
HX335600,7/7/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,Y,N,1114,N
HX335578,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,221,N
HX335722,7/7/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1814,Y
HX335685,7/7/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,511,N
HX335630,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,232,N
HX335609,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1013,Y
HX335528,7/7/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,N,735,N
HX360151,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,N,N,1822,Y
HX335652,7/7/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1831,Y
HX335584,7/7/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,Y,N,2532,N
HX335627,7/7/2014,NARCOTICS,POSS: CRACK,STREET,Y,N,934,N
HX335604,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,323,N
HX335605,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1522,Y
HX335601,7/7/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,513,N
HX335694,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,611,N
HX334293,7/7/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,N,422,N
HX335622,7/7/2014,GAMBLING,GAME/DICE,RESIDENCE PORCH/HALLWAY,Y,N,733,N
HX335672,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,731,Y
HX335623,7/7/2014,BATTERY,SIMPLE,SIDEWALK,N,N,724,Y
HX336164,7/7/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1214,Y
HX335620,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1511,N
HX335695,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1032,N
HX335644,7/7/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,331,N
HX335684,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,714,Y
HX335687,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,GAS STATION,N,N,814,Y
HX335619,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,324,N
HX335667,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,831,Y
HX335780,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,725,Y
HX336196,7/7/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1731,Y
HX335674,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,N,Y,825,Y
HX335635,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1512,Y
HX335671,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,322,Y
HX335637,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,CTA PLATFORM,N,Y,215,Y
HX335661,7/7/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,GAS STATION,Y,N,424,N
HX335638,7/7/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,323,Y
HX335643,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1014,Y
HX335768,7/7/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,N,Y,331,Y
HX335669,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1122,Y
HX335789,7/7/2014,ASSAULT,SIMPLE,PARK PROPERTY,N,Y,913,Y
HX335709,7/7/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,431,Y
HX335660,7/7/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,N,N,1421,Y
HX339366,7/7/2014,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,813,Y
HX338642,7/7/2014,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,N,Y,1911,Y
HX335721,7/7/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENTIAL YARD (FRONT/BACK),N,Y,532,Y
HX338420,7/7/2014,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,1724,Y
HX338021,7/7/2014,THEFT,FROM BUILDING,RESIDENCE-GARAGE,N,N,1231,Y
HX336396,7/7/2014,THEFT,$500 AND UNDER,GAS STATION,N,N,1215,Y
HX336321,7/7/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1522,Y
HX336195,7/7/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,113,Y
HX337484,7/7/2014,THEFT,$500 AND UNDER,OTHER,N,N,1032,Y
HX337470,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1633,Y
HX336931,7/7/2014,THEFT,$500 AND UNDER,STREET,N,N,1732,Y
HX335952,7/7/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,RESIDENCE,N,N,433,Y
HX335668,7/7/2014,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,Y,N,124,N
HX355661,7/7/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,DEPARTMENT STORE,N,N,632,Y
HX335678,7/7/2014,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1531,Y
HX335682,7/7/2014,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,SIDEWALK,N,N,621,Y
HX335700,7/7/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,423,Y
HX335696,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1633,Y
HX335813,7/7/2014,BATTERY,SIMPLE,ALLEY,N,N,2522,Y
HX335686,7/7/2014,ASSAULT,SIMPLE,ALLEY,N,Y,2413,Y
HX335677,7/7/2014,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,331,N
HX335701,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1132,Y
HX336223,7/7/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,N,N,1012,Y
HX336093,7/7/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1014,Y
HX336183,7/7/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,823,Y
HX336381,7/7/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2535,Y
HX336018,7/7/2014,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,1924,Y
HX335723,7/7/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,511,N
HX335735,7/7/2014,OTHER OFFENSE,TELEPHONE THREAT,HOSPITAL BUILDING/GROUNDS,N,N,1834,Y
HX335703,7/7/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1915,Y
HX335715,7/7/2014,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1531,N
HX335691,7/7/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,2534,Y
